#D = 0.192000, cgrav = 12.000000, Ts = 0.0019704069123315, At = 0.0289529112545519, yt = 0.1919949445239173 
#A                  h(A)                   I(A)                  c(A)                  phi(A)                  A(phi(A))                  A(h(A))   htrue(A)
0.0001458832966330   0.0039819082543319    0.0000022812011042   0.0708237170721224   0.2118760635637342   0.0001458832966503   0.0001458832966330    0.0039819082543319
0.0001554914413979   0.0041556430503523    0.0000025377330933   0.0723590408884894   0.2164422504193116   0.0001554914414120   0.0001554914413979    0.0041556430503523
0.0001655048003903   0.0043330037043223    0.0000028166707792   0.0738940909784498   0.2210058727998297   0.0001655048004008   0.0001655048003903    0.0043330037043223
0.0001759309363876   0.0045139832143470    0.0000031194250722   0.0754288620678959   0.2255668765897222   0.0001759309363942   0.0001759309363876    0.0045139832143470
0.0001867773469846   0.0046985744356653    0.0000034474616624   0.0769633489181288   0.2301252077017711   0.0001867773469872   0.0001867773469846    0.0046985744356653
0.0001980514634103   0.0048867700809317    0.0000038023017322   0.0784975463266689   0.2346808120777044   0.0001980514634089   0.0001980514634103    0.0048867700809317
0.0002097606493535   0.0050785627205046    0.0000041855226452   0.0800314491280698   0.2392336356887953   0.0002097606493484   0.0002097606493535    0.0050785627205045
0.0002219121998010   0.0052739447827388    0.0000045987586086   0.0815650521947386   0.2437836245364621   0.0002219121997923   0.0002219121998010    0.0052739447827387
0.0002345133398847   0.0054729085542850    0.0000050437013107   0.0830983504377594   0.2483307246528673   0.0002345133398730   0.0002345133398847    0.0054729085542850
0.0002475712237412   0.0056754461803944    0.0000055221005325   0.0846313388077231   0.2528748821015191   0.0002475712237269   0.0002475712237412    0.0056754461803944
0.0002610929333822   0.0058815496652281    0.0000060357647334   0.0861640122955614   0.2574160429778717   0.0002610929333659   0.0002610929333822    0.0058815496652281
0.0002750854775755   0.0060912108721736    0.0000065865616098   0.0876963659333866   0.2619541534099285   0.0002750854775578   0.0002750854775755    0.0060912108721735
0.0002895557907391   0.0063044215241653    0.0000071764186271   0.0892283947953371   0.2664891595588438   0.0002895557907205   0.0002895557907391    0.0063044215241652
0.0003045107318454   0.0065211732040118    0.0000078073235252   0.0907600939984270   0.2710210076195261   0.0003045107318265   0.0003045107318454    0.0065211732040117
0.0003199570833386   0.0067414573547279    0.0000084813247963   0.0922914587034031   0.2755496438212423   0.0003199570833199   0.0003199570833386    0.0067414573547279
0.0003359015500636   0.0069652652798725    0.0000092005321346   0.0938224841156064   0.2800750144282215   0.0003359015500455   0.0003359015500636    0.0069652652798725
0.0003523507582069   0.0071925881438921    0.0000099671168590   0.0953531654858398   0.2845970657402609   0.0003523507581897   0.0003523507582069    0.0071925881438920
0.0003693112542505   0.0074234169724690    0.0000107833123072   0.0968834981112420   0.2891157440933303   0.0003693112542346   0.0003693112542505    0.0074234169724690
0.0003867895039384   0.0076577426528765    0.0000116514142013   0.0984134773361676   0.2936309958601792   0.0003867895039239   0.0003867895039384    0.0076577426528764
0.0004047918912550   0.0078955559343378    0.0000125737809858   0.0999430985530729   0.2981427674509435   0.0004047918912418   0.0004047918912550    0.0078955559343378
0.0004233247174174   0.0081368474283919    0.0000135528341353   0.1014723572034086   0.3026510053137531   0.0004233247174055   0.0004233247174174    0.0081368474283919
0.0004423941998802   0.0083816076092637    0.0000145910584345   0.1030012487785192   0.3071556559353394   0.0004423941998695   0.0004423941998802    0.0083816076092637
0.0004620064713538   0.0086298268142404    0.0000156910022284   0.1045297688205482   0.3116566658416448   0.0004620064713440   0.0004620064713538    0.0086298268142404
0.0004821675788360   0.0088814952440527    0.0000168552776435   0.1060579129233513   0.3161539815984318   0.0004821675788268   0.0004821675788360    0.0088814952440528
0.0005028834826569   0.0091366029632621    0.0000180865607791   0.1075856767334157   0.3206475498118932   0.0005028834826479   0.0005028834826569    0.0091366029632621
0.0005241600555378   0.0093951399006525    0.0000193875918688   0.1091130559507868   0.3251373171292632   0.0005241600555286   0.0005241600555378    0.0093951399006525
